Emri i produktit,Brandi,Kategoria,Depoja,Madhesia,Ngjyra,Stoku,Cmimi,Materiali,Fuqia,Lokacioni
Nike Air Force,Nike,Patika,Depo 1,41,Black,10,99.99,,,A-01
Nike Air Force,Nike,Patika,Depo 1,42,Black,10,99.99,,,A-01
Adidas Samba,Adidas,Patika,Depo 1,42,White,10,89.90,,,A-02
Peshqir Premium,,Lini shtepie,Depo 2,50x90,Beige,12,14.50,Pambuk 100%,,B-03
Batanije Cozy,,Lini shtepie,Depo 2,200x220,Grey,7,39.90,Mikrofiber,,B-05
Toster Pro,Philips,Pajisje elektrike,Depo 1,Standard,White,4,55.00,,800W,E-02
Toster Pro,Philips,Pajisje elektrike,Depo 1,XL,Black,2,59.00,,1200W,E-03
Llamba Deco,,Dekor,Depo 1,40x25,Gold,3,24.99,Metal,,D-01
Qilim Modern,,Dekor,Depo 2,160x230,Cream,5,79.90,Polyester,,D-07
Sandale Summer,Zara,Sandale,Depo 1,38,Beige,6,29.99,,,S-01
Sandale Summer,Zara,Sandale,Depo 1,39,Beige,4,29.99,,,S-01
Kepuce Classic,Clarks,Kepuce,Depo 1,43,Brown,3,119.00,,,K-01
Nike Air Force,Nike,Patika,Depo 1,41,red,10,99.99,,,A-01
Nike Air Force,Nike,Patika,Depo 1,42,Black,10,99.99,,,A-01
Nike Air Force,Nike,Patika,Depo 1,43,Black,10,99.99,,,A-01
